angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000_XRT,_DEJ2000_XRT,2SXPS,CR0,HR_1,HR_2,PcstS0,FPO0,FPU0
0.711177,60,DZ Tuc,Classical,00 50 44.69,-73 16 05.16,15.44,Be,,0,12.68685,-73.26817,24913,0.018,0.594,0.461,0.0471,1.507E-12,1.640E-12
0.999087,82,CXOU J005323.8-722715,Classical,00 53 23.90,-72 27 15.12,16.19,Be,,0,13.34877,-72.45433,4024,0.0115,0.622,0.346,4.94E-11,8.708E-13,9.620E-13
0.702086,92,Cl* NGC 330 ELS 065055,Classical,00 53 55.34,-72 26 45.30,14.72,B1IIIe,420,0,13.48023,-72.44608,3609,1.15,0.527,0.346,0,9.036E-11,9.410E-11
0.552364,258,RX J0101.3-7211,Classical,01 01 20.81,-72 11 18.96,15.49,Be,,0,15.33717,-72.18866,51334,0.188,0.287,0.511,0,2.121E-11,2.310E-11
0.631448,597,V615 Cas,Classical,02 40 31.67,61 13 45.61,10.8,B0Ve,,5,40.13163,61.22926,1813,0.234,0.739,0.176,0,1.355E-11,1.920E-11
0.549697,758,RX J0516.0-6916,Classical,05 16 00.10,-69 16 09.12,15,Be,,0,79.00002,-69.26914,15241,0.006,0.49,0.205,0,3.455E-13,4.400E-13
0.531911,842,RX J0531.2-6609,Classical,05 31 13.30,-66 07 05.16,14.4,B0.7Ve,,0,82.80530,-66.11824,91389,0.0513,0.208,0.353,0,3.635E-12,3.640E-12
0.714977,892,V725 Tau,Classical,05 38 54.57,26 18 56.83,9.19,O9.7IIe,,11,84.72741,26.31559,65552,1.33,0.6,0.45,0,9.635E-11,1.180E-10
0.354877,990,HD 259440,Classical,06 32 59.25,05 48 01.18,9.12,B0pe,,3,98.24684,5.80042,675,0.0304,0.575,0.098,0,1.676E-12,2.090E-12
0.499402,1161,CD-29 5159,Classical,07 55 42.49,-29 33 53.58,10.71,B0Ve,,0,118.92720,-29.56490,48196,0.077,0.773,0.315,0,5.135E-12,7.230E-12
0.82778,1270,QR Vel,Classical,09 21 58.42,-51 10 35.42,10.1,B2Vne,,2,140.49305,-51.17650,183048,0.00639,-0.413,0.637,0.335,3.849E-13,5.930E-13
0.777722,1379,HD 305560,Classical,10 46 28.45,-60 33 50.76,9.82,Oe,,0,161.61895,-60.56402,175558,3.74,0.906,0.771,0,4.732E-10,5.320E-10
0.26647,1563,CPD-63 2495,Classical,13 02 47.66,-63 50 08.67,10.08,B2e,,3,195.69848,-63.83580,16098,0.326,0.728,0.183,0,1.989E-11,2.590E-11
0.936879,2069,HD 228256,Classical,20 11 54.37,40 00 29.63,10.02,Bpe,,4,302.97634,40.00844,128863,0.00656,0.68,-0.126,0.141,2.744E-13,6.450E-13
0.759279,2073,HD 228438,Classical,20 13 50.28,36 37 22.53,8.37,B0.5IIIe,,50,303.45925,36.62286,97731,8.58E-04,-0.236,0.254,0.537,5.307E-14,8.320E-14
0.34658,2123,HD 198931,Classical,20 52 09.72,44 26 04.61,8.81,B1Vnne,,24,313.04038,44.43457,77806,0.0034,0.87,-0.3,0.741,1.091E-13,4.190E-12
0.996956,2134,GSC 03588-00834,Classical,21 03 35.71,45 45 05.51,14.25,B0Ve,,1,315.89870,45.75180,43945,1.04,0.884,0.601,0,1.116E-10,1.290E-10
0.690234,2218,EM* MWC 659,Classical,22 47 45.37,57 16 50.78,10.15,B0IIIpe,,1,341.93897,57.28096,193015,0.0145,0.832,0.213,,8.874E-13,1.510E-12
